Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,361,395,218,245
4,None,361,396,218,245
7,None,361,396,218,245
11,None,361,396,218,245
14,None,361,396,218,245
18,None,361,396,218,245
21,None,362,396,218,245
25,None,362,396,218,245
29,None,362,396,218,246
32,None,362,396,218,246
36,None,362,396,218,245
39,None,362,396,218,246
43,None,362,396,218,246
46,None,363,397,218,246
50,None,363,397,218,246
54,None,363,397,218,246
57,TA-OD,363,397,218,246
61,None,363,397,218,246
64,MC-OD,363,397,218,245
68,None,363,397,218,245
71,None,363,397,218,245
75,None,363,397,218,245
79,None,363,397,218,245
82,None,363,397,218,244
86,None,363,397,218,245
89,None,364,397,217,244
93,None,364,398,217,244
96,None,364,398,217,244
100,None,363,397,218,245
104,None,361,396,219,246
107,None,358,396,221,247
111,None,355,392,223,248
114,None,344,388,224,251
118,None,332,377,230,260
121,None,315,359,241,267
125,None,298,337,248,273
129,None,271,309,244,279
132,None,247,289,230,267
136,None,234,276,221,259
139,None,225,267,212,251
143,None,221,262,208,246
146,None,219,257,206,243
150,None,218,254,205,242
154,None,216,252,203,241
157,None,214,251,202,240
161,None,213,250,201,239
164,None,210,249,199,238
168,None,209,248,198,237
171,None,208,247,197,236
175,None,208,246,197,235
179,None,208,246,197,235
182,None,208,245,197,234
186,None,209,246,197,234
189,None,209,247,197,235
193,None,210,250,198,237
196,None,211,252,199,238
200,None,211,254,199,241
204,None,214,257,201,243
207,None,217,259,203,246
211,None,219,263,204,249
214,None,222,268,207,252
218,None,228,273,213,254
221,None,234,278,219,257
225,None,239,283,222,259
229,None,242,290,224,262
232,None,251,296,231,260
236,None,260,301,237,261
239,None,270,308,241,266
243,None,277,314,241,270
246,None,281,325,242,265
250,None,287,330,241,260
254,None,294,332,237,262
257,None,299,337,236,258
261,None,302,343,238,254
264,None,303,346,238,254
268,None,309,348,235,252
271,None,314,351,234,253
275,None,318,355,235,252
279,None,319,359,237,251
282,None,320,362,238,252
286,None,325,365,237,251
289,None,328,369,237,250
293,None,329,372,237,248
296,None,330,374,236,248
300,None,333,376,236,248
304,None,336,377,235,248
307,None,338,378,235,248
311,None,340,379,234,248
314,None,341,380,233,248
318,None,343,381,233,248
321,None,344,382,233,249
325,None,345,383,232,248
329,None,347,384,232,249
332,None,348,384,232,248
336,None,349,384,232,248
339,None,349,385,231,248
343,None,350,386,231,248
346,None,351,386,231,248
350,None,351,387,231,249
354,None,352,387,231,249
357,None,352,388,231,249
361,None,352,389,231,249
364,None,353,389,231,250
368,None,354,390,230,250
371,None,354,391,230,250
375,None,354,391,230,250
379,None,355,391,229,250
382,None,355,391,229,250
386,None,355,391,229,250
389,None,355,391,229,250
393,None,355,391,229,249
396,None,355,392,228,250
400,None,355,392,229,250
404,None,355,392,228,250
407,None,355,391,228,250
411,None,355,391,229,250
414,None,355,391,229,249
418,None,355,391,228,249
421,None,355,392,228,249
425,None,355,392,228,249
429,None,355,392,228,249
432,None,355,392,228,250
436,None,355,392,228,249
439,None,355,392,228,249
443,None,356,392,228,249
446,None,355,392,228,249
450,None,356,392,228,249
454,None,356,392,228,249
457,None,356,391,229,247
461,None,357,391,229,248
464,None,357,392,229,247
468,None,357,392,228,248
471,None,357,393,228,247
475,None,358,393,228,248
479,None,358,393,228,248
482,None,358,393,228,248
486,None,358,394,228,248
489,None,358,394,228,249
493,None,358,394,228,249
496,None,358,394,227,249
500,None,358,394,227,249
504,None,359,395,227,249
507,None,359,395,227,249
511,None,359,395,227,249
514,None,359,395,227,249
518,None,359,395,227,249
521,None,359,395,227,249
525,None,359,395,227,249
529,None,359,395,227,249
532,None,359,395,227,249
536,None,360,395,227,250
539,None,360,395,227,250
543,None,360,396,227,250
546,None,360,396,227,250
550,None,360,395,227,250
554,None,360,395,227,250
557,None,360,395,227,250
561,None,360,395,227,250
564,None,360,396,227,250
568,None,360,396,227,250
571,None,361,396,227,250
575,None,361,396,227,250
579,None,361,397,227,250
582,None,361,397,227,250
586,None,361,397,227,251
589,None,361,397,227,251
593,None,361,397,227,251
596,None,362,397,228,251
600,None,362,397,228,251
604,None,362,397,228,251
607,None,362,398,228,251
611,None,362,398,228,251
614,None,362,398,228,251
618,None,363,398,228,251
621,None,363,398,227,251
625,None,363,398,227,251
629,None,363,398,227,251
632,None,363,398,227,251
636,None,363,398,227,251
639,None,363,398,227,251
643,None,363,397,227,250
646,None,362,397,227,251
650,None,362,397,227,251
654,None,361,397,227,251
657,None,360,396,227,250
661,None,359,395,227,251
664,None,357,392,226,251
668,None,357,390,226,251
671,None,356,386,225,249
675,None,348,382,225,248
679,None,340,374,225,252
682,None,330,358,224,252
686,None,316,343,226,252
689,None,302,331,225,251
693,None,285,319,239,259
696,None,274,299,238,268
700,None,256,293,234,260
704,None,243,283,225,258
707,None,233,275,217,254
711,None,225,268,208,249
714,None,220,261,202,247
718,None,217,256,199,242
721,None,214,252,198,239
725,None,213,249,197,236
729,None,211,247,195,234
732,None,211,246,195,233
736,None,209,245,194,232
739,None,208,244,194,232
743,None,207,244,193,231
746,None,207,243,193,231
750,None,207,243,193,231
754,None,208,244,193,232
757,None,209,245,194,233
761,None,210,247,195,234
764,None,212,250,196,237
768,None,214,253,198,241
771,None,218,258,202,245
775,None,225,264,210,248
779,None,231,270,214,249
782,None,240,274,220,252
786,None,246,279,225,254
789,None,253,286,228,256
793,None,263,293,231,256
796,None,273,300,233,255
800,None,280,307,235,253
804,None,285,314,231,246
807,None,288,321,224,241
811,None,294,327,221,238
814,None,300,330,222,238
818,None,303,335,222,239
821,None,308,338,221,239
825,None,315,342,222,237
829,None,319,345,222,237
832,None,322,348,222,237
836,None,327,351,221,237
839,None,329,356,221,238
843,None,331,359,220,238
846,None,333,360,220,238
850,None,335,364,220,237
854,None,338,365,220,236
857,None,340,368,220,237
861,None,341,371,219,238
864,None,343,373,219,239
868,None,346,375,219,239
871,None,347,377,219,239
875,None,348,378,219,239
879,None,349,379,218,239
882,None,349,379,218,239
886,None,350,380,218,239
889,None,351,380,218,239
893,None,352,381,218,239
896,None,352,381,218,239
900,None,352,382,218,240
904,None,352,382,218,239
907,None,352,382,218,240
911,None,352,382,218,240
914,None,351,383,219,239
918,None,352,384,219,240
921,None,352,384,219,240
925,None,352,385,219,240
929,None,352,385,219,240
932,None,352,385,218,240
936,None,353,385,218,239
939,None,353,385,218,240
943,None,353,385,218,239
946,None,353,385,218,240
950,None,353,386,218,240
954,None,353,386,218,240
957,None,353,386,218,240
961,None,354,387,218,240
964,None,354,387,218,240
968,None,354,387,218,240
971,None,354,388,218,240
975,None,354,387,218,240
979,None,354,388,218,240
982,None,354,388,218,240
986,None,355,388,218,240
989,None,355,388,218,240
993,None,355,388,218,240
996,None,355,388,218,240
1000,None,355,388,218,240
1004,None,355,388,218,240
1007,None,355,389,218,240
1011,None,355,389,218,240
1014,None,355,389,218,240
1018,None,356,389,218,240
1021,None,356,389,219,240
1025,None,356,389,219,240
1029,None,356,389,219,241
1032,None,356,389,219,240
1036,None,356,390,219,241
1039,None,356,390,219,241
1043,None,357,390,219,241
1046,None,357,390,219,241
1050,None,357,390,219,241
1054,None,357,390,219,241
1057,None,357,390,219,241
1061,None,357,390,219,241
1064,None,357,390,219,241
1068,None,357,390,219,241
1071,None,357,391,219,241
1075,None,358,391,219,241
1079,None,358,391,219,241
1082,None,358,391,219,241
1086,None,357,391,218,240
1089,None,357,391,218,241
1093,None,357,391,218,241
1096,None,358,391,218,240
1100,None,357,391,218,240
1104,None,357,391,218,240
1107,None,358,391,218,240
1111,None,358,391,218,240
1114,None,358,391,218,240
1118,None,358,391,217,240
1121,None,358,392,217,240
1125,None,358,392,217,241
1129,None,358,391,217,240
1132,None,358,392,217,240
1136,None,358,392,217,240
1139,None,358,392,217,241
1143,None,357,392,218,240
1146,None,357,392,218,240
1150,None,357,392,218,240
1154,None,357,392,217,240
1157,None,357,392,217,240
1161,None,357,392,217,240
1164,None,357,392,217,240
1168,None,357,392,217,240
1171,None,357,392,218,240
1175,None,357,392,218,240
1179,None,357,392,218,240
1182,None,357,392,217,240
1186,None,357,392,217,240
1189,None,357,392,217,240
1193,None,357,392,217,240
1196,None,357,392,217,240
1200,None,357,392,217,240
1204,None,357,392,217,241
1207,None,357,392,217,240
1211,None,357,393,217,240
1214,None,357,392,217,240
1218,None,357,393,217,240
1221,None,357,393,217,240
1225,None,357,393,217,240
1229,None,357,393,216,240
1232,None,357,393,216,240
1236,None,357,392,216,240
1239,None,357,392,216,240
1243,None,357,392,216,240
1246,None,357,392,216,240
1250,None,357,392,216,240
1254,None,357,392,215,240
1257,None,357,392,216,240
1261,None,357,392,215,240
1264,None,357,391,216,240
1268,None,357,391,215,240
1271,None,357,391,216,239
1275,None,357,391,216,240
1279,None,357,391,216,239
1282,None,357,391,216,240
1286,None,357,391,216,240
1289,None,357,392,216,240
1293,None,357,392,216,240
1296,None,357,392,216,240
1300,None,357,392,216,240
1304,None,357,392,216,240
1307,None,357,392,216,240
1311,None,357,392,216,240
1314,None,357,392,216,240
1318,None,357,392,217,240
1321,None,357,392,217,240
1325,None,357,392,217,240
1329,None,357,392,217,241
1332,None,358,392,217,241
1336,None,357,392,217,241
1339,None,358,393,217,241
1343,None,358,392,217,241
1346,None,358,393,217,241
1350,None,358,392,217,241
1354,None,357,392,217,241
1357,None,357,392,218,241
1361,None,357,392,218,241
1364,None,357,392,218,241
1368,None,357,391,218,242
1371,None,357,391,218,240
1375,None,357,391,218,240
1379,None,357,392,218,241
1382,None,357,392,218,241
1386,None,357,392,218,241
1389,None,357,391,218,241
1393,None,357,391,218,241
1396,None,357,391,218,240
1400,None,357,392,218,241
1404,None,357,392,218,241
1407,None,356,392,218,241
1411,None,357,392,218,241
1414,None,357,392,218,241
1418,None,357,392,218,241
1421,None,357,392,218,241
1425,None,357,392,218,241
1429,None,357,391,218,241
1432,None,357,391,218,241
1436,None,356,391,218,242
1439,None,356,391,218,242
1443,None,356,391,219,241
1446,None,356,391,219,242
1450,None,356,390,219,242
1454,None,356,390,219,242
1457,None,356,389,219,242
1461,None,355,389,219,243
1464,None,355,389,219,243
1468,None,354,389,220,243
1471,None,354,387,220,243
1475,None,353,386,221,243
1479,None,352,384,221,242
1482,None,351,382,221,242
1486,None,349,382,220,242
1489,None,349,381,220,242
1493,None,349,381,221,242
1496,None,350,382,220,242
1500,None,350,382,220,242
1504,None,351,382,221,242
1507,None,351,382,221,242
1511,None,352,383,221,242
1514,None,352,384,221,242
1518,None,352,385,221,242
1521,None,352,385,221,242
1525,None,352,385,221,242
1529,None,352,385,221,242
1532,None,352,385,221,243
1536,None,353,386,221,243
1539,None,353,387,221,244
1543,None,353,387,222,244
1546,None,353,388,222,244
1550,None,354,388,221,244
1554,None,354,389,221,244
1557,None,355,389,221,244
1561,None,355,390,221,244
1564,None,355,390,221,244
1568,None,355,391,221,244
1571,None,355,391,221,244
1575,None,356,391,221,244
1579,None,356,391,221,244
1582,None,356,390,221,244
1586,None,356,391,221,244
