Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,351,382,188,215
4,None,350,382,188,215
7,None,350,382,188,215
11,None,350,382,188,215
14,None,350,382,187,214
18,None,350,382,187,214
21,None,350,382,187,214
25,None,350,382,187,214
29,None,350,382,187,214
32,None,350,382,187,214
36,None,350,382,187,214
39,None,350,382,187,214
43,None,350,382,187,214
46,None,350,382,187,214
50,None,350,382,187,215
54,None,350,382,188,215
57,None,350,382,188,215
61,None,351,383,188,215
64,None,350,383,188,215
68,None,351,383,188,215
71,None,351,383,188,215
75,None,351,383,188,215
79,None,351,383,188,215
82,None,351,383,188,215
86,None,351,383,188,215
89,None,351,383,188,215
93,None,351,383,188,215
96,None,351,383,188,215
100,None,351,383,188,214
104,None,351,383,188,215
107,None,351,383,188,214
111,None,351,383,188,214
114,None,351,383,188,214
118,None,351,383,188,214
121,None,351,383,188,214
125,None,350,382,187,214
129,None,351,383,187,214
132,None,351,383,187,214
136,None,350,383,187,214
139,None,350,383,187,214
143,None,350,383,187,214
146,None,350,383,187,214
150,None,350,383,187,214
154,None,350,383,187,213
157,None,350,383,187,213
161,None,350,383,186,213
164,None,350,382,186,213
168,None,350,383,186,213
171,None,350,383,186,213
175,None,350,383,186,213
179,None,350,383,186,213
182,None,350,383,186,213
186,None,350,382,186,213
189,None,349,382,186,213
193,None,349,382,186,213
196,None,349,382,186,213
200,None,349,382,185,212
204,None,348,382,185,212
207,None,349,382,186,212
211,None,348,382,185,212
214,None,348,382,185,212
218,None,348,382,185,212
221,None,348,382,185,212
225,None,348,382,185,212
229,None,348,380,185,212
232,None,348,381,185,212
236,None,348,380,185,212
239,None,348,380,185,212
243,None,348,381,184,212
246,None,348,380,185,212
250,None,348,381,185,212
254,None,348,381,185,212
257,None,348,381,185,212
261,None,348,381,185,212
264,None,348,381,185,212
268,None,349,381,185,213
271,None,349,381,186,213
275,None,349,381,186,213
279,None,349,381,186,213
282,None,349,381,186,213
286,None,349,381,187,213
289,None,349,381,187,214
293,None,349,381,187,214
296,None,348,381,187,214
300,None,347,380,188,214
304,None,346,379,187,214
307,None,345,378,188,215
311,None,343,376,188,215
314,None,341,373,189,215
318,None,338,370,190,215
321,None,335,364,190,214
325,None,332,359,191,214
329,None,328,355,191,214
332,None,320,352,190,215
336,None,311,345,190,215
339,None,303,340,190,215
343,None,295,334,190,216
346,None,289,328,190,217
350,None,286,320,190,216
354,None,279,313,188,216
357,None,272,307,189,216
361,None,263,303,189,218
364,None,257,298,188,220
368,None,249,295,191,221
371,None,244,293,195,222
375,None,241,291,197,223
379,None,241,291,198,224
382,None,241,292,199,223
386,None,243,295,200,223
389,None,247,297,198,223
393,None,251,300,195,222
396,None,257,304,192,221
400,None,263,306,190,220
404,None,269,310,191,219
407,None,275,315,191,219
411,None,280,320,190,218
414,None,281,324,190,217
418,None,285,328,190,218
421,None,288,331,190,218
425,None,290,335,190,218
429,None,292,337,190,218
432,None,294,340,190,218
436,None,297,342,191,217
439,None,300,343,191,217
443,None,302,345,191,217
446,None,304,346,191,217
450,None,307,347,191,216
454,None,309,348,191,216
457,None,312,350,191,216
461,None,314,351,191,216
464,None,316,352,190,215
468,None,318,353,190,215
471,TA-OS,319,354,190,215
475,None,320,355,190,215
479,MC-OS,322,356,190,215
482,None,324,357,190,214
486,None,325,358,190,214
489,None,327,358,190,214
493,None,328,360,189,214
496,None,329,360,189,214
500,None,330,361,189,214
504,None,331,362,188,214
507,None,332,363,189,214
511,None,332,363,189,214
514,None,333,364,188,214
518,None,333,364,188,215
521,None,333,362,189,216
525,None,332,359,189,216
529,None,331,355,191,219
532,None,328,350,194,223
536,None,321,342,197,227
539,None,312,324,200,228
543,None,300,304,201,232
546,None,288,282,203,238
550,None,264,258,209,234
554,None,239,240,210,227
557,None,217,230,199,219
561,None,198,223,188,213
564,None,186,218,179,209
568,None,180,217,173,209
571,None,177,217,171,208
575,None,176,217,170,209
579,None,177,218,171,209
582,None,179,220,172,211
586,None,181,224,174,214
589,None,184,227,177,216
593,None,187,229,180,218
596,None,190,231,182,220
600,None,194,233,186,222
604,None,200,238,191,225
607,None,208,241,196,227
611,None,216,245,201,228
614,None,222,251,204,227
618,None,228,258,209,229
621,None,235,266,211,229
625,None,241,272,212,229
629,None,247,278,212,232
632,None,253,283,213,238
636,None,260,289,211,239
639,None,267,294,209,240
643,None,275,299,206,238
646,None,280,303,205,235
650,None,283,306,205,234
654,None,286,310,205,234
657,None,289,314,204,233
661,None,291,318,203,231
664,None,292,322,201,227
668,None,294,325,200,225
671,None,296,329,200,224
675,None,299,331,201,224
679,None,301,333,200,224
682,None,303,336,201,225
686,None,305,338,201,225
689,None,307,340,201,226
693,None,309,342,201,226
696,None,312,343,201,226
700,None,314,345,200,225
704,None,315,346,200,225
707,None,318,347,200,224
711,None,320,349,200,223
714,None,321,350,199,223
718,None,322,351,199,222
721,None,324,352,199,222
725,None,325,353,198,221
729,None,326,354,198,221
732,None,327,355,197,221
736,None,328,356,197,221
739,None,329,357,197,220
743,None,330,357,196,220
746,None,331,358,196,220
750,None,332,359,196,220
754,None,332,360,195,219
757,None,333,360,195,219
761,None,333,361,195,219
764,None,334,361,194,219
768,None,334,362,194,219
771,None,334,362,193,219
775,None,335,363,193,219
779,None,335,363,193,219
782,None,335,364,192,219
786,None,335,364,192,219
789,None,335,364,192,219
793,None,335,365,192,219
796,None,336,365,192,219
800,None,336,365,191,218
804,None,336,366,191,219
807,None,336,366,191,218
811,None,336,366,191,218
814,None,337,367,191,218
818,None,337,367,191,218
821,None,337,367,191,218
825,None,337,368,191,218
829,None,337,368,191,218
832,None,337,368,191,218
836,None,337,369,192,218
839,None,337,369,192,218
843,None,337,369,191,218
846,None,338,369,192,218
850,None,338,370,191,218
854,None,338,370,192,218
857,None,338,370,191,218
861,None,338,371,191,218
864,None,338,371,191,218
868,None,338,371,192,218
871,None,338,372,192,218
875,None,339,372,192,218
879,None,339,372,192,218
882,None,339,373,192,219
886,None,339,373,192,219
889,None,339,373,192,219
893,None,339,373,192,219
896,None,340,374,192,219
900,None,340,374,193,219
904,None,340,374,192,219
907,None,340,374,193,219
911,None,340,374,193,219
914,None,341,375,195,219
918,None,341,375,194,219
921,None,342,375,194,219
925,None,342,375,195,219
929,None,342,375,194,219
932,None,342,375,194,219
936,None,342,375,194,219
939,None,342,376,194,219
943,None,342,376,194,219
946,None,342,376,194,219
950,None,342,376,194,219
954,None,342,376,194,219
957,None,342,376,194,219
961,None,342,376,193,219
964,None,342,376,193,219
968,None,342,376,193,219
971,None,342,376,193,219
975,None,342,376,193,219
979,None,342,376,193,219
982,None,342,376,192,218
986,None,342,377,192,218
989,None,342,376,192,218
993,None,342,377,192,218
996,None,342,377,192,218
1000,None,342,377,192,218
1004,None,343,377,192,218
1007,None,343,377,191,218
1011,None,343,377,191,217
1014,None,342,377,191,217
1018,None,342,377,191,218
1021,None,343,377,191,217
1025,None,343,377,191,217
1029,None,343,377,191,217
1032,None,343,377,191,217
1036,None,343,377,191,217
1039,None,343,377,191,217
1043,None,343,377,191,217
1046,None,343,377,191,217
1050,None,343,377,191,217
1054,None,343,378,191,217
1057,None,343,377,191,217
1061,None,343,377,191,217
1064,None,343,378,191,217
1068,None,344,378,191,217
1071,None,344,378,191,217
1075,None,344,378,191,217
1079,None,344,378,191,218
1082,None,344,378,191,217
1086,None,344,378,191,217
1089,None,344,379,191,217
1093,None,344,379,191,217
1096,None,344,379,191,217
1100,None,344,379,191,218
1104,None,344,380,191,217
1107,None,344,380,191,218
1111,None,345,380,191,218
1114,None,345,380,191,218
1118,None,345,380,191,217
1121,None,345,380,191,218
1125,None,345,380,191,218
1129,None,345,380,191,218
1132,None,345,380,191,218
1136,None,345,380,191,218
1139,None,345,380,191,218
1143,None,345,380,191,218
1146,None,346,380,191,218
1150,None,346,380,191,218
1154,None,346,380,191,218
1157,None,346,380,191,217
1161,None,346,380,191,217
1164,None,346,380,191,217
1168,None,346,380,191,217
1171,None,346,380,191,217
1175,None,346,380,191,217
1179,None,346,380,191,217
1182,None,346,380,191,217
1186,None,346,380,191,217
1189,None,346,380,191,217
1193,None,346,380,191,217
1196,None,346,380,191,217
1200,None,346,380,191,217
1204,None,346,380,191,217
1207,None,347,380,191,216
1211,None,346,380,190,216
1214,None,347,380,190,216
1218,None,347,380,190,216
1221,None,347,380,190,216
1225,None,347,380,190,216
1229,None,347,380,190,216
1232,None,347,380,190,216
1236,None,347,380,190,216
1239,None,347,380,190,216
1243,None,347,380,190,216
1246,None,347,380,189,216
1250,None,347,380,189,216
1254,None,347,380,189,216
1257,None,346,380,188,215
1261,None,346,379,188,215
1264,None,346,379,188,215
1268,None,346,379,187,215
1271,None,346,379,187,214
1275,None,345,379,187,214
1279,None,345,379,186,214
1282,None,345,379,186,214
1286,None,345,378,186,213
1289,None,344,378,185,213
1293,None,344,378,184,212
1296,None,344,378,184,212
1300,None,344,378,184,212
1304,None,344,378,184,212
1307,None,344,378,184,212
1311,None,343,378,184,212
1314,None,343,378,184,212
1318,None,343,378,183,212
1321,None,343,378,184,212
1325,None,343,378,184,212
1329,None,344,379,184,212
1332,None,344,379,184,212
1336,None,344,379,184,212
1339,None,345,380,184,213
1343,None,345,380,185,213
1346,None,345,380,185,214
1350,None,346,381,186,214
1354,None,346,381,186,214
1357,None,346,381,186,214
1361,None,347,381,186,215
1364,None,347,382,187,215
1368,None,347,382,187,215
1371,None,348,382,187,215
1375,None,348,382,187,215
1379,None,349,382,187,215
1382,None,349,382,188,215
1386,None,349,382,187,215
1389,None,349,382,188,215
1393,None,349,382,187,215
1396,None,349,382,187,215
1400,None,349,382,187,215
1404,None,349,382,187,215
1407,None,348,382,187,215
1411,None,348,382,187,215
1414,None,348,382,187,215
1418,None,348,382,187,215
1421,None,348,381,186,214
1425,None,348,382,186,214
1429,None,348,381,186,214
1432,None,347,381,186,214
1436,None,348,382,186,214
1439,None,347,381,186,214
1443,None,347,382,186,214
1446,None,347,381,186,214
1450,None,347,381,185,214
1454,None,347,382,185,214
1457,None,347,382,185,214
1461,None,347,381,185,214
1464,None,347,381,185,214
1468,None,347,382,185,214
1471,None,347,382,185,213
1475,None,347,382,185,213
1479,None,348,382,186,214
1482,None,347,382,185,214
1486,None,348,381,185,214
1489,None,348,382,185,214
1493,None,347,381,186,214
1496,None,348,382,186,214
1500,None,348,382,186,214
1504,None,348,382,186,214
1507,None,348,382,186,214
1511,None,348,382,186,214
1514,None,348,382,186,214
1518,None,348,382,186,214
1521,None,348,382,186,214
1525,None,348,382,186,214
1529,None,348,382,186,214
1532,None,348,382,187,214
1536,None,348,382,187,214
1539,None,348,382,187,214
1543,None,349,382,187,214
1546,None,349,382,187,214
1550,None,349,382,187,214
1554,None,349,382,187,214
1557,None,350,383,187,214
1561,None,350,383,188,214
1564,None,350,383,188,214
1568,None,350,383,188,214
1571,None,351,383,188,214
1575,None,351,383,188,215
1579,None,351,383,188,215
1582,None,351,383,188,215
1586,None,352,384,188,215
1589,None,352,383,188,215
1593,None,352,383,188,215
1596,None,352,383,188,215
1600,None,352,383,188,215
1604,None,352,383,188,215
1607,None,352,383,188,214
1611,None,352,383,188,215
1614,None,352,383,187,214
1618,None,352,383,187,214
1621,None,351,383,187,214
1625,None,351,383,187,214
1629,None,351,383,187,214
1632,None,351,383,187,214
1636,None,350,383,187,214
1639,None,350,383,186,214
1643,None,350,383,186,214
1646,None,350,383,186,214
1650,None,350,383,186,214
1654,None,349,383,186,214
1657,None,349,383,186,214
1661,None,349,383,186,214
1664,None,349,383,186,213
1668,None,348,383,186,213
