Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,333,364,175,194
4,None,333,364,175,194
7,None,333,364,175,194
11,None,333,364,174,194
14,None,333,364,174,193
18,None,332,363,173,193
21,None,332,363,173,193
25,None,332,363,173,193
29,None,332,363,173,193
32,None,332,364,173,193
36,None,332,364,172,193
39,None,332,364,172,193
43,None,332,364,172,193
46,None,332,364,172,193
50,None,331,364,172,194
54,None,332,364,172,194
57,None,331,364,172,194
61,None,331,365,172,194
64,None,331,365,172,194
68,None,331,365,172,194
71,None,332,365,172,194
75,None,332,365,172,194
79,None,332,365,172,194
82,None,332,365,172,194
86,None,332,365,172,194
89,None,332,365,172,194
93,None,332,366,172,194
96,None,332,366,172,195
100,None,332,366,172,195
104,None,332,366,172,195
107,None,332,366,172,195
111,None,332,367,172,195
114,None,332,367,172,195
118,None,333,367,173,196
121,None,333,367,173,196
125,None,333,368,173,196
129,None,334,368,174,196
132,None,334,369,174,197
136,None,334,369,174,197
139,None,335,369,175,198
143,None,335,370,175,198
146,None,336,369,175,199
150,None,337,370,176,200
154,None,337,370,176,200
157,None,338,370,177,201
161,None,338,370,177,201
164,None,339,371,177,201
168,None,339,371,177,201
171,None,339,371,177,201
175,None,339,371,177,201
179,None,339,371,177,201
182,None,339,371,177,202
186,None,339,372,177,202
189,None,338,371,177,202
193,None,339,372,177,202
196,None,339,372,176,202
200,None,339,372,177,202
204,None,339,372,177,202
207,None,338,372,176,202
211,None,338,372,176,202
214,None,338,372,176,202
218,None,339,372,176,202
221,None,339,372,176,202
225,None,339,372,176,203
229,None,337,372,177,203
232,None,337,373,177,203
236,None,338,373,177,203
239,None,338,373,178,204
243,None,338,373,178,204
246,None,338,373,178,204
250,None,338,374,178,204
254,None,338,374,178,204
257,None,338,374,179,204
261,None,339,374,179,205
264,None,339,374,179,205
268,None,339,374,179,205
271,None,339,374,179,205
275,None,339,374,179,205
279,None,339,374,179,205
282,None,339,374,179,205
286,None,339,374,179,205
