Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,336,385,227,260
4,None,336,384,227,260
7,None,336,384,227,260
11,None,336,384,227,260
14,None,336,385,227,260
18,None,336,385,228,260
21,None,336,385,228,260
25,None,336,385,228,260
29,None,336,385,228,259
32,None,337,385,228,260
36,None,337,386,228,259
39,None,337,386,228,259
43,None,338,386,228,259
46,None,337,386,228,259
50,None,337,385,228,259
54,None,337,385,228,259
57,None,336,384,228,259
61,None,335,383,228,259
64,None,334,383,228,259
68,None,334,382,228,259
71,None,333,382,228,259
75,None,333,381,228,259
79,None,333,381,228,259
82,None,333,381,227,259
86,None,333,382,227,259
89,None,334,382,227,258
93,None,334,382,227,258
96,None,334,382,227,258
100,None,335,382,227,258
104,None,335,383,227,258
107,None,335,383,227,258
111,None,336,384,227,258
114,None,336,384,227,258
118,None,336,384,227,257
121,None,336,384,227,257
125,None,336,384,227,257
129,None,336,385,227,257
132,None,337,385,227,257
136,None,337,385,227,257
139,None,337,385,227,257
143,None,337,385,227,257
146,None,336,385,227,257
150,None,336,385,227,257
154,None,336,385,227,257
157,None,337,385,227,257
161,None,337,385,227,257
164,None,337,384,227,257
168,None,336,384,227,257
171,None,336,384,227,257
175,None,335,384,227,257
179,None,335,384,227,257
182,None,335,384,227,257
186,None,336,384,227,257
189,None,336,384,227,257
193,None,336,384,228,257
196,None,336,383,228,257
200,None,335,383,228,257
204,None,335,382,228,257
207,None,334,382,228,258
211,None,334,381,228,257
214,None,334,381,228,258
218,None,334,381,228,258
221,None,334,381,228,258
225,None,333,381,228,258
229,None,333,380,228,257
232,None,333,380,228,257
236,None,333,380,228,257
239,None,333,380,228,258
243,None,333,380,228,257
246,None,333,380,228,257
250,None,334,381,229,257
254,None,334,381,228,257
257,None,334,381,229,258
261,None,334,381,228,258
264,None,334,381,228,258
268,None,334,381,228,258
271,None,335,381,228,258
275,None,335,381,228,258
279,None,336,382,228,257
282,None,336,382,228,258
286,None,336,382,228,257
289,None,336,382,227,257
293,None,336,382,227,258
296,None,336,382,227,258
300,None,336,382,227,258
304,None,336,382,227,257
307,None,336,382,227,257
311,None,336,383,226,257
314,None,337,383,226,257
318,None,337,383,226,257
321,None,337,383,226,257
325,None,336,383,226,257
329,None,336,382,226,257
332,None,335,382,226,257
336,None,336,382,226,257
339,None,336,382,226,257
343,None,336,382,226,257
346,None,337,383,226,257
350,None,337,383,226,257
354,None,337,383,226,257
357,None,336,383,226,257
361,None,336,382,225,257
364,None,336,382,225,257
368,None,336,382,225,257
371,None,337,383,225,257
375,None,337,383,225,257
379,None,338,384,225,257
382,None,338,385,225,257
386,None,338,385,225,257
389,None,338,385,225,257
393,None,339,385,225,258
396,None,340,386,226,258
400,None,340,386,226,258
404,None,341,386,226,258
407,None,341,387,226,258
411,None,341,387,226,258
414,None,341,387,226,259
418,None,341,387,226,259
421,None,341,387,226,259
425,None,341,388,225,259
429,None,341,388,226,259
432,None,342,388,226,259
436,None,342,389,226,260
439,None,342,389,226,260
443,None,343,389,226,260
446,None,343,389,226,260
450,None,343,390,226,260
454,None,343,390,226,260
457,None,342,390,226,260
461,None,343,390,226,260
464,None,343,391,226,260
468,None,344,391,226,260
471,None,344,391,226,260
475,None,344,392,226,260
479,None,344,391,226,260
482,None,343,391,226,260
486,None,343,391,226,260
489,None,342,390,226,260
493,None,342,390,226,260
496,None,343,391,226,261
500,None,343,391,226,261
504,None,343,391,227,261
507,None,343,391,227,261
511,None,343,391,227,261
514,None,343,390,227,261
518,None,343,390,227,261
521,None,342,390,227,261
525,None,343,390,227,261
529,None,343,390,227,261
532,None,344,391,227,261
536,None,344,392,227,262
539,None,345,392,227,262
543,None,345,393,227,262
546,None,345,393,227,262
550,None,345,393,227,261
554,None,345,393,227,261
557,None,345,393,227,261
561,None,345,393,227,261
564,None,346,394,227,261
568,None,346,394,227,261
571,None,346,394,227,261
575,None,347,395,227,261
579,None,347,395,227,261
582,None,347,395,227,261
