Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,368,398,220,240
4,None,369,398,220,240
7,None,369,398,220,240
11,None,369,398,220,240
14,None,368,398,220,240
18,None,369,398,220,240
21,None,368,398,220,240
25,None,369,398,220,240
29,None,369,398,220,240
32,None,369,399,219,240
36,None,368,398,219,240
39,None,369,399,219,240
43,None,369,398,219,240
46,None,368,398,220,240
50,None,368,398,220,240
54,None,368,398,220,240
57,None,368,397,220,240
61,None,367,397,220,240
64,None,367,397,220,240
68,None,367,397,220,240
71,None,367,397,220,240
75,None,367,397,220,240
79,None,367,396,220,240
82,None,367,396,220,241
86,None,367,396,220,241
89,None,367,396,220,241
93,None,367,396,220,241
96,None,367,396,220,241
100,None,367,396,220,241
104,None,367,396,220,241
107,None,367,396,220,241
111,None,367,396,220,241
114,None,367,396,220,241
118,None,367,396,220,241
121,None,367,396,220,241
125,None,367,396,220,241
129,None,366,395,220,241
132,None,366,395,220,241
136,None,366,395,220,241
139,None,366,395,220,241
143,None,365,395,220,241
146,None,365,395,220,241
150,None,366,395,220,241
154,None,365,395,221,241
157,None,365,395,221,241
161,None,365,395,221,241
164,None,365,394,221,241
168,None,365,394,221,240
171,None,364,394,221,241
175,None,364,394,221,241
179,None,363,394,221,241
182,None,363,393,221,241
186,None,363,393,221,241
189,None,362,393,222,242
193,None,362,393,222,242
196,None,361,393,222,243
200,None,360,392,223,243
204,None,360,392,223,244
207,None,359,391,223,244
211,None,359,391,223,244
214,None,359,391,223,244
218,None,359,391,223,244
221,None,359,391,223,244
225,None,359,391,224,244
229,None,357,391,224,245
232,None,358,391,224,245
236,None,358,391,224,244
239,None,358,391,224,245
243,None,358,391,225,245
246,None,358,391,224,244
250,None,358,392,225,245
254,None,358,392,225,244
257,None,358,392,224,244
261,None,358,392,225,244
264,None,358,392,224,244
268,None,358,392,224,244
271,None,359,392,224,244
275,None,359,392,224,244
279,None,359,392,224,244
282,None,359,393,224,244
286,None,359,393,224,244
289,None,359,392,224,244
293,None,359,392,224,244
296,None,359,393,224,244
300,None,359,392,224,244
304,None,359,392,224,244
307,None,359,392,224,244
311,None,359,392,224,244
314,None,359,392,224,244
318,None,359,392,224,244
321,None,359,392,224,244
325,None,359,392,224,244
329,None,359,393,224,244
332,None,359,392,224,244
336,None,359,393,224,244
339,None,359,393,224,244
343,None,359,393,224,244
346,None,360,393,224,244
350,None,360,393,224,244
354,None,360,393,224,244
357,None,360,393,223,244
361,None,360,393,223,244
364,None,360,393,223,243
368,None,360,393,223,243
371,None,360,393,223,243
375,None,361,393,223,243
