Time (msec),Stimulus,Right Top,Left Top,Right Bottom,Left Bottom
0,None,329,368,195,233
4,None,329,368,195,233
7,None,330,369,195,233
11,None,330,370,195,233
14,None,330,371,195,233
18,None,331,372,195,233
21,None,331,372,194,233
25,None,331,373,194,233
29,None,331,373,194,232
32,None,331,373,194,232
36,None,331,372,194,232
39,None,330,371,194,232
43,None,330,370,193,232
46,None,329,370,193,232
50,None,329,370,193,232
54,None,330,370,193,232
57,None,330,370,193,232
61,None,330,370,193,232
64,None,330,370,193,232
68,None,329,370,193,233
71,None,329,369,194,233
75,None,328,369,194,233
79,None,328,368,194,233
82,None,328,369,194,233
86,None,329,368,194,233
89,None,329,369,194,233
93,None,329,369,194,233
96,None,329,369,194,233
100,None,330,370,194,233
104,None,330,369,194,233
107,None,330,370,194,233
111,None,331,370,194,233
114,None,331,371,194,233
118,None,331,372,194,233
121,None,332,373,194,234
125,None,332,373,194,234
129,None,332,373,194,233
132,None,332,374,194,234
136,None,332,374,194,234
139,None,332,374,194,234
143,None,332,374,194,234
146,None,332,374,194,234
150,None,332,374,194,233
154,None,332,373,194,234
157,None,332,373,193,234
161,None,331,372,193,234
164,None,331,371,193,233
168,None,331,370,193,233
171,None,331,371,193,233
175,None,331,371,193,233
179,None,331,371,193,233
182,None,331,371,193,233
186,None,331,371,193,233
189,None,331,371,192,233
193,None,331,371,192,233
196,None,331,371,192,233
200,None,331,372,192,233
204,None,331,372,192,233
207,None,331,372,192,233
211,None,331,373,191,233
214,None,331,373,191,233
218,None,331,373,191,233
221,None,331,373,191,233
225,None,331,373,191,233
229,None,330,373,193,233
232,TA-OD,331,373,193,233
236,None,331,373,193,233
239,MC-OD,331,373,193,233
243,None,331,373,193,233
246,None,331,374,193,233
250,None,331,373,193,233
254,None,331,374,193,233
257,None,331,373,193,233
261,None,332,374,193,233
264,None,332,374,193,233
268,None,332,373,193,233
271,None,331,373,193,233
275,None,330,372,195,234
279,None,327,370,197,236
282,None,322,365,200,237
286,None,314,356,205,236
289,None,293,338,217,237
293,None,281,322,214,246
296,None,259,297,225,253
300,None,232,275,213,247
304,None,215,256,198,240
307,None,196,244,187,231
311,None,186,236,178,225
314,None,181,232,171,220
318,None,177,229,168,218
321,None,176,228,166,216
325,None,175,227,165,215
329,None,173,226,163,215
332,None,172,226,162,214
336,None,172,226,162,214
339,None,173,226,162,213
343,None,174,226,163,213
346,None,174,227,164,214
350,None,176,227,165,215
354,None,179,229,168,217
357,None,182,232,170,219
361,None,185,238,173,223
364,None,193,243,181,227
368,None,200,249,189,231
371,None,208,255,192,235
375,None,216,264,195,237
379,None,224,272,199,237
382,None,229,279,202,236
386,None,237,287,205,237
389,None,243,297,204,234
393,None,250,304,205,228
396,None,260,308,204,228
400,None,270,312,203,226
404,None,276,317,199,225
407,None,281,321,202,225
411,None,282,326,202,226
414,None,285,331,205,227
418,None,289,332,206,227
421,None,293,333,208,228
425,None,297,337,209,228
429,None,299,340,211,228
432,None,304,342,211,228
436,None,307,344,211,228
439,None,310,347,211,228
443,None,313,350,212,229
446,None,315,353,213,229
450,None,318,355,213,229
454,None,320,357,213,229
457,None,321,358,213,229
461,None,323,360,212,229
464,None,325,360,212,229
468,None,327,361,211,229
471,None,328,361,211,229
475,None,329,361,212,229
479,None,329,361,212,229
482,None,329,361,212,228
486,None,330,362,211,228
489,None,330,363,211,228
493,None,331,363,210,228
496,None,331,364,210,228
500,None,332,364,210,228
504,None,332,365,209,228
507,None,332,366,209,228
511,None,332,366,209,228
514,None,333,367,208,228
518,None,332,367,208,227
521,None,332,366,207,227
525,None,332,367,206,227
529,None,332,366,206,227
532,None,332,367,205,227
536,None,332,367,205,227
539,None,332,367,204,227
543,None,332,367,204,227
546,None,332,367,204,227
550,None,332,367,203,227
554,None,332,367,204,227
557,None,332,367,204,227
561,None,331,367,204,227
564,None,331,366,204,227
568,None,330,364,205,227
571,None,330,362,204,226
575,None,329,361,205,226
579,None,327,360,203,225
582,None,323,358,203,225
586,None,317,353,203,223
589,None,311,346,203,224
593,None,300,339,202,224
596,None,295,332,202,224
600,None,291,326,202,225
604,None,288,321,198,224
607,None,281,312,198,226
611,None,272,302,212,231
614,None,250,287,218,241
618,None,242,275,214,245
621,None,235,269,214,243
625,None,230,260,211,242
629,None,225,252,205,236
632,None,218,242,199,230
636,None,212,237,195,224
639,None,207,231,191,219
643,None,204,228,189,217
646,None,201,226,186,215
650,None,198,225,184,214
654,None,197,225,183,214
657,None,196,225,183,215
661,None,196,226,183,215
664,None,196,225,183,215
668,None,196,225,183,215
671,None,195,225,183,215
675,None,195,226,182,215
679,None,195,226,183,216
682,None,196,227,183,216
686,None,201,227,187,217
689,None,206,232,191,220
693,None,210,238,194,225
696,None,215,244,197,230
700,None,222,251,202,235
704,None,227,258,206,240
707,None,232,265,211,243
711,None,237,273,214,240
714,None,242,278,216,241
718,None,248,281,215,243
721,None,253,287,218,242
725,None,263,296,216,234
729,None,273,302,209,231
732,None,280,307,200,228
736,None,284,311,197,226
739,None,288,317,198,226
743,None,291,323,200,225
746,None,294,326,203,226
750,None,297,329,204,227
754,None,298,331,203,225
757,None,300,333,203,225
761,None,301,335,203,225
764,None,305,339,204,225
768,None,309,342,203,225
771,None,311,343,204,225
775,None,314,344,202,225
779,None,316,345,201,224
782,None,318,348,201,224
786,None,320,350,201,225
789,None,322,353,200,225
793,None,324,355,200,225
796,None,325,357,200,225
800,None,326,359,200,226
804,None,327,361,201,226
807,None,328,363,201,227
811,None,329,365,200,227
814,None,329,366,201,227
818,None,330,366,201,228
821,None,331,367,201,228
825,None,332,367,201,228
829,None,333,367,200,228
832,None,333,369,200,228
836,None,333,370,200,228
839,None,333,370,200,228
843,None,333,371,199,229
846,None,334,372,199,229
850,None,334,372,199,229
854,None,334,373,199,229
857,None,335,374,200,229
861,None,335,374,200,229
864,None,336,375,199,229
868,None,336,375,200,229
871,None,336,375,200,229
875,None,336,375,200,229
879,None,336,375,200,228
882,None,336,376,199,229
886,None,337,376,199,229
889,None,337,376,199,228
893,None,337,376,199,228
896,None,337,376,199,228
900,None,337,376,199,228
904,None,337,376,199,228
907,None,337,376,199,228
911,None,337,376,199,228
914,None,337,373,199,228
918,None,337,374,199,228
921,None,337,374,199,228
925,None,337,374,199,228
929,None,337,374,199,228
932,None,337,374,199,228
936,None,337,374,199,228
939,None,337,374,199,228
943,None,338,374,199,228
946,None,338,374,198,228
950,None,338,374,198,228
954,None,338,374,198,228
957,None,338,374,198,228
961,None,338,374,198,228
964,None,338,374,198,228
968,None,338,374,198,227
971,None,338,374,198,227
975,None,338,374,197,227
979,None,338,374,197,227
982,None,338,374,197,227
986,None,338,374,197,227
989,None,338,374,198,228
993,None,337,373,198,228
996,None,337,373,197,227
1000,None,337,372,197,227
1004,None,336,372,197,227
1007,None,336,372,197,227
1011,None,336,372,196,227
1014,None,336,372,197,227
1018,None,336,371,197,227
1021,None,336,371,197,227
1025,None,336,370,198,227
1029,None,335,369,198,226
1032,None,334,367,197,226
1036,None,333,364,197,225
1039,None,330,361,197,225
1043,None,327,353,196,224
1046,None,319,343,196,225
1050,None,312,334,195,225
1054,None,301,326,196,226
1057,None,292,319,192,226
1061,None,287,307,190,228
1064,None,281,295,192,234
1068,None,263,280,212,245
1071,None,247,272,214,242
1075,None,237,267,211,243
1079,None,230,256,211,239
1082,None,227,249,207,234
1086,None,224,241,203,228
1089,None,219,236,200,223
1093,None,215,231,196,219
1096,None,210,228,194,216
1100,None,208,228,192,216
1104,None,207,228,192,216
1107,None,208,229,192,217
1111,None,211,232,194,220
1114,None,216,236,198,223
1118,None,220,240,200,227
1121,None,224,246,202,230
1125,None,226,251,205,234
1129,None,230,257,209,238
1132,None,233,262,210,241
1136,None,238,270,211,237
1139,None,244,276,212,233
1143,None,248,279,210,236
1146,None,251,281,209,238
1150,None,258,289,205,233
1154,None,269,296,198,226
1157,None,276,302,193,223
1161,None,281,306,188,223
1164,None,284,309,189,221
1168,None,287,313,191,221
1171,None,290,319,193,222
1175,None,293,323,194,222
1179,None,295,325,196,224
1182,None,296,328,196,224
1186,None,299,331,196,224
1189,None,300,332,195,223
1193,None,301,334,195,223
1196,None,306,337,195,222
1200,None,310,340,195,222
1204,None,313,342,195,223
1207,None,315,343,194,223
1211,None,317,344,193,223
1214,None,319,346,193,222
1218,None,321,348,193,222
1221,None,324,350,193,222
1225,None,326,353,193,223
1229,None,327,355,194,224
1232,None,329,357,194,225
1236,None,330,359,194,226
1239,None,331,361,195,227
1243,None,332,363,196,227
1246,None,333,364,196,227
1250,None,334,366,196,228
1254,None,336,367,196,228
1257,None,337,369,197,228
1261,None,339,370,198,228
1264,None,339,371,199,229
1268,None,340,371,200,229
1271,None,340,373,200,229
1275,None,340,374,200,229
1279,None,341,375,200,229
1282,None,342,376,201,230
1286,None,343,377,201,230
1289,None,344,377,201,230
1293,None,344,378,201,231
1296,None,344,378,200,231
1300,None,344,378,200,232
1304,None,345,378,200,232
1307,None,346,378,200,232
1311,None,346,378,201,232
1314,None,346,379,201,232
1318,None,347,379,201,232
1321,None,347,379,202,232
1325,None,347,379,202,232
1329,None,347,379,202,232
1332,None,347,380,202,232
1336,None,347,380,201,232
1339,None,347,380,201,232
1343,None,347,380,202,232
1346,None,347,380,202,232
1350,None,348,380,201,231
1354,None,347,380,201,232
1357,None,347,380,201,231
1361,None,347,380,201,231
1364,None,347,380,201,231
1368,None,348,380,201,231
1371,None,346,379,202,232
1375,None,346,379,201,231
1379,None,346,379,201,231
1382,None,346,379,201,231
1386,None,346,379,200,231
1389,None,346,379,200,231
1393,None,346,379,200,231
1396,None,346,379,200,230
1400,None,346,380,200,230
1404,None,346,380,199,230
1407,None,346,380,199,230
1411,None,346,380,198,229
1414,None,346,380,198,229
1418,None,345,380,198,229
1421,None,346,380,198,229
1425,None,345,380,197,228
1429,None,345,380,197,228
1432,None,346,380,197,228
1436,None,345,381,196,228
1439,None,345,380,196,228
1443,None,345,380,196,228
1446,None,345,380,196,228
1450,None,344,380,196,228
1454,None,344,380,195,228
1457,None,344,379,195,227
1461,None,344,379,195,227
1464,None,343,379,195,227
1468,None,343,379,195,227
1471,None,343,378,194,227
1475,None,343,379,195,227
1479,None,343,379,194,227
1482,None,343,379,194,227
1486,None,343,379,194,227
1489,None,343,379,194,227
1493,None,343,379,194,227
1496,None,343,379,194,227
1500,None,343,379,194,227
1504,None,343,379,194,227
1507,None,343,379,194,226
1511,None,343,379,194,227
1514,None,342,379,193,227
1518,None,342,379,193,226
1521,None,342,379,193,226
1525,None,342,379,193,226
1529,None,342,379,192,226
1532,None,342,379,193,227
1536,None,342,380,192,227
1539,None,342,380,192,226
1543,None,342,380,192,226
1546,None,342,380,192,226
1550,None,342,380,192,226
1554,None,342,380,192,226
1557,None,342,380,192,226
1561,None,342,380,192,226
1564,None,342,380,192,226
1568,None,342,380,191,226
1571,None,342,380,191,226
1575,None,342,380,191,226
1579,None,342,380,191,226
1582,None,342,380,191,226
1586,None,342,381,191,226
1589,None,342,381,191,226
1593,None,342,381,191,226
1596,None,342,381,191,226
1600,None,342,381,190,226
1604,None,342,381,190,226
1607,None,341,381,190,225
1611,None,341,381,190,225
1614,None,341,381,190,225
1618,None,341,381,190,225
1621,None,341,381,189,225
1625,None,341,381,189,225
1629,None,341,381,189,225
1632,None,341,381,189,225
1636,None,341,381,189,225
1639,None,341,382,189,225
1643,None,341,382,189,225
1646,None,341,382,189,225
1650,None,341,382,189,225
1654,None,341,382,189,225
1657,None,341,382,189,225
1661,None,341,382,188,225
1664,None,341,382,188,225
1668,None,341,382,189,226
1671,None,341,382,188,226
1675,None,341,382,188,226
1679,None,341,382,189,226
1682,None,341,383,188,226
1686,None,341,382,188,226
1689,None,341,382,188,226
1693,None,341,382,188,226
1696,None,341,383,188,227
1700,None,341,382,188,226
1704,None,341,382,188,227
1707,None,342,382,189,226
1711,None,342,383,189,226
1714,None,342,383,189,226
1718,None,342,383,189,226
1721,None,342,383,189,226
1725,None,342,383,189,226
1729,None,342,383,189,227
1732,None,342,382,190,226
1736,None,342,382,190,227
1739,None,342,382,190,226
1743,None,342,382,190,226
1746,None,343,381,191,226
1750,None,343,381,191,227
1754,None,343,382,191,226
1757,None,343,382,190,227
1761,None,344,382,191,227
1764,None,344,382,190,226
1768,None,344,382,190,227
1771,None,344,382,190,226
1775,None,344,382,190,226
1779,None,345,383,190,226
1782,None,345,383,190,226
1786,None,344,383,190,226
1789,None,344,383,190,226
1793,None,344,383,190,226
1796,None,344,383,190,226
1800,None,344,383,190,226
1804,None,344,383,189,226
1807,None,344,383,189,226
1811,None,344,382,189,226
1814,None,344,382,189,226
1818,None,344,382,189,226
1821,None,344,382,189,226
1825,None,344,382,189,226
1829,None,344,382,188,226
1832,None,344,382,188,226
1836,None,344,381,188,226
1839,None,344,381,188,226
1843,None,344,381,188,225
1846,None,344,381,187,226
1850,None,343,381,188,226
1854,None,344,381,187,226
1857,None,344,381,187,225
1861,None,343,381,187,226
1864,None,343,381,187,225
1868,None,343,381,187,225
1871,None,343,381,187,225
1875,None,343,381,187,225
1879,None,343,381,187,225
1882,None,342,381,187,224
1886,None,342,381,187,224
1889,None,342,381,186,224
1893,None,342,381,186,224
1896,None,342,381,186,224
1900,None,342,381,186,224
1904,None,342,381,186,224
1907,None,341,380,186,224
1911,None,341,380,186,224
1914,None,341,380,186,224
1918,None,341,380,186,224
1921,None,341,380,186,224
1925,None,341,380,186,223
1929,None,341,380,186,223
1932,None,341,380,186,223
1936,None,341,380,186,223
1939,None,341,380,186,223
1943,None,341,380,185,224
1946,None,341,380,185,223
1950,None,340,380,185,223
1954,None,340,380,185,223
1957,None,340,380,185,223
1961,None,340,380,185,223
1964,None,341,380,185,223
1968,None,341,380,185,223
1971,None,341,381,185,223
1975,None,341,381,185,223
1979,None,341,380,185,223
1982,None,341,380,185,223
1986,None,341,380,185,223
1989,None,341,380,185,223
1993,None,341,380,185,223
1996,None,342,380,185,223
2000,None,342,380,185,223
2004,None,342,380,185,223
2007,None,342,381,185,223
2011,None,342,381,185,223
2014,None,342,381,185,223
2018,None,342,380,185,223
2021,None,342,381,185,224
2025,None,342,381,186,224
2029,None,342,381,186,224
2032,None,342,381,186,223
2036,None,342,380,186,224
2039,None,342,381,186,224
2043,None,342,381,186,224
2046,None,343,381,186,224
2050,None,343,381,186,224
2054,None,343,381,186,224
2057,None,341,381,187,224
2061,None,341,381,187,224
2064,None,341,380,187,224
2068,None,341,380,187,224
2071,None,341,380,187,224
2075,None,341,381,187,224
2079,None,341,381,187,224
2082,None,342,381,187,224
2086,None,341,381,187,224
2089,None,342,381,187,224
2093,None,342,381,187,224
2096,None,341,381,187,224
2100,None,341,381,187,224
2104,None,341,381,187,224
2107,None,341,381,187,224
2111,None,341,381,187,224
2114,None,341,381,187,224
2118,None,341,381,187,224
2121,None,341,381,186,224
2125,None,341,381,186,224
2129,None,341,380,186,223
2132,None,340,380,187,224
2136,None,340,380,186,224
2139,None,340,380,187,224
2143,None,339,379,187,224
2146,None,339,379,187,223
2150,None,339,379,187,223
2154,None,339,379,187,223
2157,None,339,379,187,224
2161,None,339,379,187,223
2164,None,339,379,187,223
2168,None,339,379,187,223
2171,None,339,379,186,223
2175,None,339,379,186,223
2179,None,339,379,186,223
2182,None,339,379,186,223
2186,None,339,379,186,224
2189,None,339,378,187,224
2193,None,338,377,187,223
2196,None,337,377,188,223
2200,None,336,375,188,223
2204,None,335,374,189,223
2207,None,334,373,189,222
2211,None,332,368,189,222
2214,None,330,361,189,221
2218,None,324,352,187,221
2221,None,314,339,186,220
2225,None,308,331,188,223
2229,None,297,324,189,223
2232,None,289,313,186,223
2236,None,286,304,186,224
2239,None,279,293,187,231
2243,None,267,278,195,243
2246,None,246,272,209,239
2250,None,237,264,209,241
2254,None,226,254,209,236
2257,None,222,246,205,231
2261,None,217,239,201,227
2264,None,213,236,197,224
2268,None,210,234,194,222
2271,None,209,234,193,222
2275,None,211,236,194,224
2279,None,214,238,196,226
2282,None,216,242,198,228
2286,None,219,246,199,230
2289,None,224,252,203,234
2293,None,227,258,206,237
2296,None,230,266,209,240
2300,None,234,272,209,236
2304,None,239,277,210,235
2307,None,244,278,209,240
2311,None,245,282,208,240
2314,None,250,290,200,233
2318,None,260,298,194,227
2321,None,270,302,190,223
2325,None,275,305,187,221
2329,None,279,309,184,219
2332,None,282,313,185,218
2336,None,284,316,186,219
2339,None,286,321,188,219
2343,None,289,323,190,218
2346,None,291,326,190,219
2350,None,293,328,191,219
2354,None,294,330,190,219
2357,None,296,332,190,219
2361,None,297,334,189,218
2364,None,299,335,188,218
2368,None,303,338,188,218
2371,None,307,340,188,219
2375,None,308,341,188,219
2379,None,310,341,187,219
2382,None,311,343,187,219
2386,None,313,343,187,220
2389,None,315,345,187,220
2393,None,316,347,187,220
2396,None,318,349,186,220
2400,None,319,350,186,220
2404,None,321,352,186,219
2407,None,321,354,186,219
2411,None,323,356,186,219
2414,None,324,358,186,219
2418,None,325,359,186,220
2421,None,325,360,186,220
2425,None,325,362,186,220
2429,None,326,363,186,221
2432,None,327,365,186,222
2436,None,327,365,186,222
2439,None,327,365,186,222
2443,None,328,366,185,222
2446,None,328,366,185,222
2450,None,328,366,185,222
2454,None,328,367,184,222
2457,None,328,368,183,222
2461,None,329,368,183,222
2464,None,329,369,183,222
2468,None,329,370,183,222
2471,None,329,370,183,222
2475,None,330,371,183,222
2479,None,330,371,183,222
2482,None,331,372,183,222
2486,None,331,372,183,222
2489,None,331,372,183,222
2493,None,331,372,183,222
2496,None,331,372,183,222
2500,None,331,373,183,222
2504,None,331,373,183,222
2507,None,332,374,183,222
2511,None,332,374,183,222
2514,None,332,372,185,222
2518,None,332,372,185,223
2521,None,332,372,185,222
2525,None,333,372,185,223
2529,None,333,373,185,223
2532,None,332,373,185,223
2536,None,333,373,185,223
2539,None,333,373,185,223
