PSI,ipsi,contra,stimSide
30.4,nan,nan,R
30.4,1,nan,L
30.4,1,1,L
30.4,1,1,R
30.4,1,nan,L
30.4,1,nan,L
30.4,1,nan,R
30.4,1,1,R
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,L
15,1,nan,R
15,1,1,R
15,1,nan,R
15,nan,nan,L
15,nan,nan,L
15,nan,nan,R
15,nan,nan,L
15,1,nan,L
60.7,1,1,L
60.7,1,nan,L
60.7,1,1,L
60.7,1,1,R
60.7,1,1,R
60.7,1,1,L
60.7,1,1,R
60.7,1,nan,R
60.7,1,1,R
60.7,1,1,L
60.7,1,1,R
60.7,1,1,L
60.7,1,1,L
60.7,1,1,R
60.7,1,nan,L
60.7,1,1,R
15.3,1,1,L
15.3,nan,nan,L
15.3,nan,nan,L
15.3,1,nan,R
15.3,nan,nan,R
15.3,nan,nan,L
15.3,nan,nan,R
15.3,1,1,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,1,1,L
3.75,1,1,R
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,L
7.8,1,1,L
7.8,nan,nan,R
7.8,1,1,L
7.8,nan,nan,L
7.8,nan,nan,R
7.8,nan,nan,R
7.8,nan,nan,R
7.8,nan,nan,L
30,1,nan,R
30,nan,nan,R
30,1,1,L
30,1,nan,L
30,1,1,R
30,1,1,R
30,nan,nan,L
30,1,nan,L
7.3,nan,nan,R
7.3,1,1,R
7.3,nan,nan,R
7.3,nan,nan,L
7.3,nan,nan,L
7.3,nan,nan,R
7.3,nan,nan,L
7.3,nan,nan,L
7.3,nan,nan,R
7.3,nan,nan,R
7.3,1,1,L
7.3,nan,nan,L
7.3,nan,nan,L
7.3,nan,nan,R
7.3,1,1,R
7.3,1,1,L
3.6,nan,nan,R
3.6,nan,nan,L
3.6,nan,nan,R
3.6,nan,nan,R
3.6,nan,nan,R
3.6,nan,nan,L
3.6,nan,nan,L
3.6,nan,nan,L
60.2,1,1,R
60.2,1,nan,L
60.2,1,1,L
60.2,1,1,L
60.2,1,1,R
60.2,1,1,L
60.2,1,1,R
60.2,1,1,R
30.2,1,nan,L
30.2,1,nan,L
30.2,1,nan,L
30.2,nan,nan,R
30.2,nan,nan,L
30.2,1,nan,R
30.2,nan,nan,R
30.2,1,1,R
14.8,1,1,R
14.8,1,nan,R
14.8,nan,nan,L
14.8,nan,nan,R
14.8,nan,nan,L
14.8,nan,nan,L
14.8,nan,nan,R
14.8,1,nan,L
14.9,1,1,R
14.9,nan,nan,L
14.9,nan,nan,L
14.9,nan,nan,L
14.9,nan,nan,R
14.9,nan,nan,R
14.9,nan,nan,L
14.9,nan,nan,R
30,1,1,R
30,1,1,L
30,nan,nan,L
30,1,nan,L
30,1,1,R
30,nan,nan,R
30,1,nan,L
30,1,1,R
59.7,1,1,R
59.7,1,1,L
59.7,1,nan,L
59.7,1,nan,L
59.7,1,1,R
59.7,1,1,R
59.7,1,1,R
59.7,1,nan,L
7.6,1,1,R
7.6,nan,nan,L
7.6,nan,nan,R
7.6,nan,nan,R
7.6,nan,nan,R
7.6,nan,nan,L
7.6,nan,nan,L
7.6,nan,nan,L
14.9,nan,nan,R
14.9,1,nan,R
14.9,1,nan,R
14.9,nan,nan,L
14.9,nan,nan,L
14.9,nan,nan,L
14.9,1,1,R
14.9,nan,nan,L
7.7,1,1,L
7.7,nan,nan,R
7.7,nan,nan,L
7.7,1,1,R
7.7,nan,nan,L
7.7,nan,nan,L
7.7,1,1,R
7.7,nan,nan,R
60.3,1,1,L
60.3,1,1,R
60.3,1,1,L
60.3,1,1,L
60.3,1,1,R
60.3,1,1,R
60.3,1,1,R
60.3,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,L
3.75,1,1,L
3.75,nan,nan,R
3.75,nan,nan,R
3.75,1,1,L
3.75,nan,nan,R
3.75,1,1,L
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,R
3.75,1,1,L
3.75,nan,nan,R
3.75,nan,nan,L
29.5,1,nan,L
29.5,nan,nan,R
29.5,nan,nan,R
29.5,nan,nan,R
29.5,nan,nan,L
29.5,1,nan,R
29.5,nan,nan,L
29.5,nan,nan,L
