Time (mSec),Stimulus (Code),Right (OD),Left (OS)
0,None,349,334
4,None,349,330
7,None,349,330
11,None,349,334
14,None,349,334
18,None,349,330
21,None,349,333
25,None,349,330
29,None,349,334
32,None,349,335
36,None,349,333
39,None,349,334
43,None,349,335
46,None,349,334
50,None,349,334
54,None,349,334
57,None,349,335
61,None,349,335
64,None,349,334
68,None,349,334
71,None,349,334
75,None,349,334
79,None,349,334
82,None,349,334
86,None,349,333
89,None,349,335
93,None,349,334
96,None,349,334
100,None,349,334
104,None,349,335
107,None,349,334
111,None,349,334
114,None,349,334
118,None,349,335
121,None,349,333
125,None,349,334
129,None,349,334
132,None,349,334
136,None,349,334
139,None,349,334
143,None,349,334
146,None,349,333
150,None,349,334
154,None,349,333
157,None,349,330
161,None,349,330
164,None,349,333
168,None,349,333
171,None,348,333
175,None,348,333
179,None,348,333
182,None,348,333
186,None,348,332
189,None,348,332
193,None,348,333
196,None,348,329
200,None,348,332
204,None,348,329
207,None,348,332
211,None,348,332
214,None,347,328
218,None,346,332
221,None,345,330
225,None,344,328
229,None,344,328
232,None,344,328
236,None,343,330
239,None,343,327
243,None,342,327
246,None,342,326
250,None,338,325
254,None,336,323
257,None,332,322
261,None,327,321
264,None,322,317
268,None,315,312
271,None,310,310
275,None,307,303
279,None,307,292
282,None,301,284
286,None,288,276
289,None,276,264
293,None,265,253
296,None,256,242
300,None,244,232
304,None,232,218
307,None,222,208
311,None,211,202
314,None,202,193
318,None,193,185
321,None,187,178
325,None,182,170
329,None,178,163
332,None,173,158
336,None,171,157
339,None,169,158
343,None,168,156
346,None,167,158
350,None,167,162
354,None,168,164
357,None,168,169
361,None,172,168
364,None,178,171
368,None,182,178
371,None,188,187
375,None,193,191
379,None,198,196
382,None,203,205
386,None,209,212
389,None,216,219
393,None,222,225
396,None,228,231
400,None,233,237
404,None,239,235
407,None,245,248
411,None,251,255
414,None,258,261
418,None,262,266
421,None,268,272
425,None,272,278
429,None,278,282
432,None,282,286
436,None,286,288
439,None,290,292
443,None,294,295
446,None,298,297
450,None,302,299
454,None,304,302
457,None,308,304
461,None,309,304
464,None,313,309
468,None,314,310
471,None,317,312
475,None,318,313
479,None,321,316
482,None,322,314
486,None,324,318
489,None,326,318
493,None,328,320
496,None,328,320
500,None,330,322
504,None,331,322
507,None,332,322
511,None,333,323
514,None,334,324
518,None,335,324
521,None,335,325
525,None,336,325
529,None,338,326
532,None,338,326
536,None,339,326
539,None,339,326
543,None,340,327
546,None,341,327
550,None,341,327
554,None,342,327
557,None,342,328
561,None,342,327
564,None,342,328
568,None,342,328
571,None,342,328
575,None,343,328
579,None,343,328
582,None,343,328
586,None,344,328
589,None,344,332
593,None,344,328
596,None,344,328
600,None,345,328
604,None,344,328
607,None,345,328
611,None,345,328
614,None,346,328
618,None,346,328
621,None,346,328
625,None,346,329
629,None,346,328
632,None,346,328
636,None,346,329
639,None,346,332
643,None,346,332
646,None,347,332
650,None,347,333
654,None,347,329
657,None,347,333
661,None,347,329
664,None,347,333
668,None,347,329
671,TA-OD,347,329
675,None,347,329
679,MC-OD,347,329
682,None,347,329
686,None,347,329
689,None,348,329
693,None,348,329
696,None,348,329
700,None,348,329
704,None,348,333
707,None,348,329
711,None,348,330
714,None,348,329
718,None,345,329
721,None,342,328
725,None,333,328
729,None,324,326
732,None,312,322
736,None,298,320
739,None,273,308
743,None,242,293
746,None,210,278
750,None,183,258
754,None,161,232
757,None,154,214
761,None,152,198
764,None,150,186
768,None,149,174
771,None,148,168
775,None,145,157
779,None,143,152
782,None,142,149
786,None,142,148
789,None,143,147
793,None,145,144
796,None,147,146
800,None,148,151
804,None,148,151
807,None,148,152
811,None,148,157
814,None,145,157
818,None,144,157
821,None,145,162
825,None,144,167
829,None,151,174
832,None,155,183
836,None,159,190
839,None,160,198
843,None,163,201
846,None,168,205
850,None,169,211
854,None,175,218
857,None,182,226
861,None,193,234
864,None,202,242
868,None,212,250
871,None,223,258
875,None,233,267
879,None,242,272
882,None,252,278
886,None,259,284
889,None,265,287
893,None,269,292
896,None,272,292
900,None,275,294
904,None,277,295
907,None,278,296
911,None,279,298
914,None,283,300
918,None,287,303
921,None,291,307
925,None,293,311
929,None,298,312
932,None,300,316
936,None,304,318
939,None,309,320
943,None,312,323
946,None,316,325
950,None,320,327
954,None,322,329
957,None,325,330
961,None,328,332
964,None,330,333
968,None,332,337
971,None,334,338
975,None,337,338
979,None,338,339
982,None,340,340
986,None,342,341
989,None,343,342
993,None,343,342
996,None,344,341
1000,None,345,342
1004,None,346,342
1007,None,346,342
1011,None,347,342
1014,None,347,342
1018,None,347,342
1021,None,347,342
1025,None,348,342
1029,None,347,342
1032,None,348,343
1036,None,347,343
1039,None,347,343
1043,None,347,343
1046,None,348,343
1050,None,347,342
1054,None,348,343
1057,None,348,343
1061,None,348,343
1064,None,348,342
1068,None,348,343
1071,None,354,343
1075,None,354,343
1079,None,355,343
1082,None,356,343
1086,None,356,344
1089,None,356,343
1093,None,358,343
1096,None,361,344
1100,None,358,344
1104,None,361,344
1107,None,360,344
1111,None,362,344
1114,None,361,345
1118,None,358,345
1121,None,361,345
1125,None,360,345
1129,None,360,344
1132,None,361,344
1136,None,360,344
1139,None,358,344
1143,None,359,344
1146,None,356,343
1150,None,358,343
1154,None,358,343
1157,None,358,343
1161,None,357,342
1164,None,358,342
1168,None,359,342
1171,None,359,342
1175,None,359,342
1179,None,358,342
1182,None,359,342
1186,None,356,342
1189,None,355,342
1193,None,356,342
1196,None,352,342
1200,None,355,342
1204,None,355,342
1207,None,358,342
1211,None,355,342
1214,None,355,342
1218,None,355,342
1221,None,356,342
1225,None,356,342
1229,None,356,342
1232,None,356,342
1236,None,356,342
1239,None,356,342
1243,None,357,343
1246,None,354,343
1250,None,354,343
1254,None,360,343
1257,None,358,343
1261,None,358,343
1264,None,357,343
1268,None,354,343
1271,None,359,343
1275,None,357,343
1279,None,360,342
1282,None,357,342
1286,None,354,342
1289,None,356,342
1293,None,359,342
1296,None,352,342
1300,None,352,342
1304,None,352,342
1307,None,351,342
1311,None,351,341
1314,None,351,341
1318,None,350,341
1321,None,350,341
1325,None,350,341
1329,None,350,341
