PSI,ipsi,contra,stimSide
29.9,1,1,R
29.9,1,1,L
29.9,1,1,L
29.9,1,1,R
29.9,1,1,L
29.9,1,1,R
29.9,1,1,R
29.9,1,1,L
30.4,1,1,L
30.4,1,1,R
30.4,1,1,L
30.4,1,1,L
30.4,1,1,R
30.4,1,1,R
30.4,1,1,R
30.4,1,1,L
3.75,1,nan,R
3.75,nan,nan,R
3.75,nan,nan,L
3.75,1,1,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,L
15.35,1,1,L
15.35,nan,nan,L
15.35,1,1,R
15.35,1,nan,L
15.35,1,nan,R
15.35,nan,nan,L
15.35,1,nan,R
15.35,1,nan,R
60.2,1,1,L
60.2,1,1,R
60.2,1,1,L
60.2,1,1,R
60.2,1,nan,R
60.2,1,1,L
60.2,1,nan,R
60.2,1,1,L
60.6,1,1,L
60.6,1,1,R
60.6,1,1,L
60.6,1,1,R
60.6,1,1,L
60.6,nan,nan,L
60.6,1,1,R
60.6,1,1,R
15,1,1,R
15,1,nan,R
15,nan,nan,L
15,nan,nan,L
15,1,nan,R
15,1,1,R
15,nan,nan,L
15,nan,nan,L
3.8,nan,nan,L
3.8,nan,nan,R
3.8,nan,nan,R
3.8,nan,nan,R
3.8,nan,nan,L
3.8,nan,nan,R
3.8,nan,nan,L
3.8,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,L
7.5,1,nan,R
7.5,nan,nan,L
7.5,nan,nan,R
7.5,nan,nan,R
7.5,1,nan,R
30.1,nan,1,R
30.1,1,nan,L
30.1,1,nan,R
30.1,nan,nan,L
30.1,nan,nan,L
30.1,1,nan,R
30.1,1,1,R
30.1,1,1,L
7.5,nan,1,L
7.5,nan,nan,L
7.5,1,nan,R
7.5,1,nan,R
7.5,nan,nan,L
7.5,nan,nan,L
7.5,1,nan,R
7.5,nan,nan,R
7.5,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,R
7.5,nan,nan,L
7.5,nan,nan,R
7.5,nan,nan,R
7.5,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,L
60,1,1,L
60,1,1,R
60,1,1,L
60,1,1,R
60,1,1,L
60,1,1,R
60,1,1,R
60,1,1,L
29.9,1,1,L
29.9,1,1,R
29.9,1,nan,L
29.9,1,nan,R
29.9,1,1,L
29.9,1,nan,R
29.9,1,nan,R
29.9,nan,nan,L
15.1,nan,nan,L
15.1,nan,nan,L
15.1,nan,nan,R
15.1,nan,nan,L
15.1,1,nan,L
15.1,1,nan,R
15.1,nan,nan,R
15.1,1,nan,R
15.3,1,nan,R
15.3,1,1,L
15.3,1,nan,R
15.3,nan,nan,R
15.3,1,nan,R
15.3,nan,nan,L
15.3,nan,nan,L
15.3,nan,nan,L
29.7,1,1,L
29.7,nan,nan,L
29.7,1,nan,L
29.7,1,nan,R
29.7,nan,nan,L
29.7,1,nan,R
29.7,1,nan,R
29.7,1,nan,R
60.1,1,1,R
60.1,1,nan,R
60.1,1,nan,R
60.1,1,nan,L
60.1,1,1,L
60.1,1,1,R
60.1,1,nan,L
60.1,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,R
7.5,nan,nan,R
7.5,nan,nan,R
7.5,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,R
7.5,nan,nan,L
15,nan,nan,L
15,nan,nan,R
15,nan,nan,R
15,nan,nan,R
15,nan,nan,L
15,nan,nan,R
15,nan,nan,L
15,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,L
7.5,nan,nan,R
7.5,nan,nan,R
7.5,nan,nan,L
7.5,nan,nan,R
7.5,nan,nan,R
60.2,1,1,R
60.2,1,1,L
60.2,1,1,R
60.2,1,1,L
60.2,1,1,L
60.2,1,1,R
60.2,1,1,L
60.2,1,1,R
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,R
3.75,nan,nan,L
3.75,nan,nan,L
3.75,nan,nan,R
30.1,1,1,R
30.1,1,nan,L
30.1,1,nan,L
30.1,1,nan,R
30.1,1,nan,R
30.1,1,nan,L
30.1,nan,nan,L
30.1,1,1,R
