PSI,latency,initialVelocity,timeToClose,timeToOpen,timeUnder20,oscillations,oscillationRate,blinks,blinkRate,auc,maxCloseVelocity,maxOpenVelocity,excursion,timeToOscil
29.9,42.25,4.7175,31.25,178.375,97.125,7.375,1.985,3,47.865,20272.25,8.20875,2.27125,126.625,293.25
29.7,41.625,4.71125,30.375,180.25,90.375,4.5,1.21125,1.625,26.225,18608.6875,8.17875,2.33125,124,1966.5
3.75,55,2.668333333,33,68.83333333,30,4,1.088571429,1.428571429,24.15285714,5751.166667,3.75,1.458333333,79.66666667,3374.333333
15,47.66666667,4.306666667,28.5,136.8333333,77.83333333,5.5,1.541666667,2.333333333,39.21166667,13469.5,7.513333333,2.333333333,110.1666667,1780.5
60.1,39.25,4.67,28.5,206.25,140.5,13.4,3.474,4.4,67.184,23876.125,8.1875,2.25,118.75,184.25
60,35.71428571,4.831428571,29.57142857,496.5714286,306.7142857,16,4.477142857,6.857142857,115.03,61246.14286,8.762857143,2.287142857,125,107.7142857
15.3,45.125,4.31625,29,138.75,70.125,3,0.8275,1.25,20.8575,13251.4375,7.85375,3.125,109.875,2665.5
3.75,46,4.55,32,136,72,1,0.23,nan,nan,14531.5,8.67,2.33,123,nan
7.5,48.75,4.43875,32.5,144.5,54.625,2.375,0.655,0.875,14.4175,14164.125,8.24,2.11375,121.5,3084.5
30.4,44.25,4.29,32.5,146.875,58.125,2.5,0.68875,0.875,14.6525,14321.9375,6.76,1.865,116.875,3071.875
7.5,49.33333333,4.236666667,36.33333333,144,45.83333333,1.666666667,0.47,1.166666667,19.435,14360.08333,6.778333333,2.083333333,131.3333333,2920.166667
7.5,56.4,2.992,28.6,79.2,25,2.2,0.622,1.2,20.374,6418.2,4.502,3.932,81.4,6550.8
3.75,58,1.9875,35.5,62.75,23.25,1.5,0.4025,0.75,11.3275,4639.125,3.3325,2.5,65.5,4690.75
60,64.16666667,4.543333333,29.66666667,423.5,175.8333333,8.833333333,2.511666667,3.5,59.24666667,41792.58333,8.181666667,2.485,117.8333333,744.6666667
29.6,46,3.92,26.75,139,77.625,3.125,0.84625,1.875,30.25,12085.5,7.56125,1.845,98.125,3013.375
15.1,48,4.082857143,31.57142857,126,53.28571429,2.714285714,0.822857143,1.285714286,23.10285714,11659,7.332857143,3.012857143,110.4285714,3018
15.2,48,4.117142857,31,118.4285714,46.71428571,3.285714286,0.882857143,1.571428571,24.72142857,10717.57143,7.022857143,3.25,109.5714286,2674.285714
30,83.25,4.25875,29.125,127.375,65.75,2.25,0.64125,1.125,19.09625,12498.4375,7.12375,1.8225,110,2628.125
60.3,39.625,4.22375,29.875,117.75,64.875,5.25,1.435,1.75,29.3,11972.0625,6.875,2.3125,110.125,1627.75
7.5,55.75,3.605,29.375,74.125,34,2.5,0.735,1.125,19.975,7051.9375,6.37375,2.125,94.875,3461.5
15.3,49,3.6325,28.125,104,64.375,2,0.54125,0.875,15.06375,9373.375,6.23,2.115,92.875,3109.75
7.5,54.8,3.88,30.4,75,37.8,3.4,0.938,1.8,29.096,7049.4,6.966,2.266,98.8,5679.6
59.8,38.75,3.93375,28.25,133.75,79.625,3,0.83125,1,16.59625,12558.1875,7.2825,2.26125,101.5,3066.125
3.75,57.33333333,2.963333333,27.66666667,58,19,1.666666667,0.44,1,16.52666667,4639.333333,4.443333333,1.556666667,74.33333333,2933.666667
3.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.2,45.25,3.8275,29.625,104.625,52.375,2.125,0.57875,1.125,18.51375,9742.8125,6.69875,2.38625,101.875,2776.75
